,Sampling Technique,Precision,Recall,F1 Score,Accuracy,Confusion Matrix
0,RFC,0.8354717295719462,0.887633272736206,0.8390182073402536,0.887633272736206,"[[18029    55]
 [ 2232    37]]"
1,GBT,0.7894539033351408,0.8884193976317988,0.8360180245491585,0.8884193976317988,"[[18082     2]
 [ 2269     0]]"
2,LGBM,0.7894539033351408,0.8884193976317988,0.8360180245491585,0.8884193976317988,"[[18082     2]
 [ 2269     0]]"
